Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells
SRGAP2B	human	0	1.119110718	0.655	0	AC253572.1	human	0	1.138609168	0.811	0	PAFAH1B2	human	1.40E-11	1.06329145	0.914	0.304	SRGAP2C	human	0	1.144269189	0.574	0	H3F3C	human	0	1.203080097	0.789	0	PURB	chimp	0	0.685309377	0.187	0.505	RP11-475C16.1	chimp	0	0.66613205	0.457	0.877	CTC-338M12.4	chimp	4.31E-12	0.836456564	0	0.383	CNOT6	chimp	0	0.728112545	0.279	0.632	YTHDF1	chimp	6.00E-09	0.855293311	0.19	0.615
TMEM33	human	0	1.11867795	0.617	0.156	SRGAP2B	human	0	1.119614421	0.783	0	RPL24P4	human	2.24E-11	1.006195529	0.73	0	NBPF12	human	0	1.125621798	0.636	0	HIST1H4C	human	0	1.191153632	0.668	0.15	CTC-338M12.4	chimp	0	0.683649907	0.007	0.36	CTC-338M12.4	chimp	0	0.657044713	0.012	0.36	LINC00301	chimp	1.79E-11	0.432659859	0	0.367	KC6	chimp	0	0.724296423	0.088	0.444	LINC00115	chimp	1.11E-08	0.547903028	0.048	0.4
ZNF91	human	0	1.111607435	0.632	0.112	SEPW1	human	0	1.1029017	0.661	0.024	TUBB2A	human	5.28E-11	1.39968546	0.717	0	GPIHBP1	human	0	1.110617422	0.62	0	ETNK1	human	0	1.185483534	0.625	0.162	RP5-968D22.1	chimp	0	0.682588213	0.003	0.257	RP11-298E9.7	chimp	0	0.651622287	0.006	0.341	RP11-471M2.3	chimp	1.79E-11	0.311807176	0	0.367	PCDHGC3	chimp	0	0.718904653	0.044	0.491	ZNF839P1	chimp	1.47E-08	1.056846745	0.012	0.338
EIF2S3	human	0	1.093434416	0.781	0.185	ZNF286B	human	0	1.089013966	0.582	0	ANKRD10	human	6.53E-11	0.877678358	0.921	0.348	EIF2S3	human	0	1.099542021	0.816	0.155	HNRNPA1L2	human	0	1.184118473	0.673	0	AGO1	chimp	0	0.678552178	0.314	0.712	XBP1	chimp	0	0.630556849	0	0.341	OXSR1	chimp	3.02E-11	0.857805584	0.162	0.542	LDHA	chimp	0	0.715308262	0.438	0.889	SLC38A2	chimp	3.22E-08	0.539006864	0.702	0.938
LETM1	human	0	1.066699427	0.463	0.021	GPX3	human	0	1.085742399	0.462	0	CTTN	human	7.91E-11	1.559968502	0.789	0.043	THAP5	human	0	1.084557866	0.48	0.052	NBPF1	human	0	1.167037587	0.508	0.012	LINC00115	chimp	0	0.673131553	0.022	0.596	GSTT2	chimp	0	0.627901601	0	0.351	RNU2-2P	chimp	3.62E-11	0.579497735	0	0.358	LUC7L2	chimp	0	0.692041593	0	0.346	SOX2OT_exon3	chimp	4.03E-08	0.940119874	0	0.308
RANBP2	human	0	1.052420578	0.59	0.042	HMGN2P5	human	0	1.06136148	0.804	0	MDM4	human	1.15E-10	0.488971665	0.954	0.391	FAM110B	human	0	1.068472205	0.783	0.169	GTF2IP1	human	0	1.15274839	0.53	0	AL133243.2	chimp	0	0.671693617	0.144	0.523	SOX2OT_exon4	chimp	0	0.605300851	0	0.336	H2AFV	chimp	4.25E-11	0.715048211	0.438	0.8	ZFP91	chimp	0	0.688164001	0.243	0.632	SOX2OT_exon4	chimp	4.03E-08	0.915948164	0	0.308
PIAS2	human	0	1.025195438	0.427	0	PAN3	human	0	1.048598746	0.76	0.146	NPIPB5	human	1.21E-10	1.220692586	0.704	0	WIPF3	human	0	1.065569126	0.624	0.056	SRGAP2B	human	0	1.133157061	0.495	0	LNX2	chimp	0	0.663308816	0.053	0.281	AC092338.5	chimp	0	0.601148479	0.012	0.327	ZFP91	chimp	5.18E-11	0.836529589	0.2	0.65	FAM184B	chimp	0	0.678119828	0.092	0.444	TTC3P1	chimp	6.76E-08	0.692440625	0.44	0.646
GTF2IP1	human	0	1.013358779	0.653	0.012	LETM1	human	0	1.044228536	0.556	0.024	RPL14P1	human	1.21E-10	0.917465867	0.704	0	PCBP1-AS1	human	0	1.05214261	0.476	0	AC016708.2	human	0	1.126074773	0.528	0	RP11-697E2.6	chimp	0	0.656714467	0.007	0.323	LINC00115	chimp	0	0.598249554	0.029	0.573	GSTT2	chimp	7.26E-11	0.614405639	0	0.35	TAF9	chimp	0	0.667225105	0.259	0.56	PCMTD2	chimp	2.42E-07	0.754728964	0.429	0.8
PCBP1-AS1	human	0	1.009519472	0.425	0	ATF4	human	0	1.042051548	0.594	0.012	HNRNPCP2	human	1.80E-10	1.059943709	0.697	0	SRGAP2B	human	0	1.034721841	0.646	0	RP11-543P15.1	human	0	1.125139433	0.78	0	KC6	chimp	0	0.64358662	0.11	0.447	RP11-62C3.6	chimp	0	0.596180041	0	0.346	MAPRE1P1	chimp	7.26E-11	0.526435829	0	0.35	DSTNP1	chimp	0	0.66463617	0.064	0.534	RPL7P26	chimp	3.46E-07	0.417242487	0.036	0.385
C6orf62	human	0	1.007265431	0.878	0.36	NUP50	human	0	1.019392125	0.607	0.085	RBM6	human	2.53E-10	0.980772115	0.901	0.217	GTF2IP1	human	0	1.029937999	0.722	0.014	MIDN	human	0	1.119047108	0.526	0.05	ATP11C	chimp	0	0.642218833	0.254	0.575	RP11-395L14.3	chimp	0	0.592308913	0.006	0.611	RP11-395L14.3	chimp	7.26E-11	0.510399267	0	0.35	PLA2G4B	chimp	0	0.65576086	0	0.402	DDR1	chimp	3.64E-07	0.609806642	0.333	0.292
