Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells
SMAD2	human	0	0.359113459	0.527	0.334	RPS10	human	2.41E-07	0.285122023	0.364	0.085	CBWD7	human	0.002348454	0.585402109	0.289	0	CEP290	human	0	0.360073678	0.556	0.216	RPS9	macaque	1.89E-13	0.918476572	0.175	0.4	HIF3A	human	0	0.616689011	0.336	0.084	BAZ1B	chimp	0.004144403	0.266887648	0.503	0.649	RPS4Y1	human	1.30E-11	0.921525265	0.475	0.058	YY1AP1	chimp	0.006534802	0.256509308	0.279	0.427						
DDX27	human	0	0.358517029	0.334	0.139	NUP160	human	2.52E-07	0.407702261	0.453	0.183	PKD1	human	0.002348454	0.56424518	0.289	0	SEMA3C	human	0	0.357350557	0.633	0.291	KCTD10	macaque	2.65E-13	1.12315544	0.124	0.475	RP11-488L18.10	human	0	0.612593324	0.319	0.081	PM20D2	chimp	0.0041741	0.266844893	0.145	0.299	ZNF814	human	2.66E-11	0.887980802	0.462	0.05	CLIC4	chimp	0.006582183	0.299569152	0.179	0.308						
GOSR1	human	0	0.357414471	0.333	0.142	SHISA2	human	2.53E-07	0.555897662	0.54	0.232	RTN3P1	human	0.002348454	0.459021772	0.289	0	SMN1	human	0	0.353908862	0.262	0	IRF2BP2	macaque	3.31E-13	0.822861312	0.444	0.812	RP11-69L16.5	human	0	0.610888362	0.758	0.354	LMAN1	chimp	0.004643485	0.26971159	0.347	0.493	CTC-308K20.3	human	3.70E-11	0.435730913	0.375	0.083	TARDBP	chimp	0.007150125	0.278947041	0.291	0.41						
SUGT1	human	0	0.356986489	0.617	0.388	MAP3K13	human	2.70E-07	0.468656078	0.552	0.256	NBPF25P	human	0.002348454	0.434999281	0.289	0	PSMD12	human	0	0.353580654	0.55	0.249	SUB1	macaque	7.02E-13	0.675905049	0.552	0.838	THAP5	human	0	0.601339396	0.635	0.366	GOPC	chimp	0.004984902	0.267441024	0.173	0.327	RP11-129M6.1	human	3.98E-11	0.840015076	0.35	0.008	ARIH2	chimp	0.008718562	0.263646333	0.339	0.449						
GTF2I	human	0	0.355935714	0.611	0.265	ZNF609	human	2.85E-07	0.310187052	0.545	0.244	RP4-604A21.1	human	0.002348454	0.301850878	0.289	0	IGF2BP2	human	0	0.35292579	0.388	0.113	TMSB10	macaque	7.07E-13	0.2773988	0.968	1	MAGI3	human	0	0.600728603	0.269	0.033	AIF1L	chimp	0.005089768	0.252750172	0.156	0.275	CHCHD3	human	4.87E-11	0.577125386	0.762	0.267	POLR2C	chimp	0.008800384	0.25215218	0.207	0.286						
COMMD2	human	0	0.354953974	0.308	0.137	MTX3	human	2.98E-07	0.31654337	0.318	0.085	RP11-1018J11.1	human	0.002348454	0.298613793	0.289	0	LRRC37A2	human	0	0.351343849	0.348	0.075	ATP5E	macaque	1.03E-12	0.511284458	0.687	0.888	TCEA1P2	human	0	0.594478641	0.4	0	EGLN1	chimp	0.005312508	0.255523441	0.306	0.445	ZNF493	human	7.24E-11	0.815025021	0.4	0.067	GBF1	chimp	0.008908982	0.256706136	0.255	0.372						
SLC39A6	human	0	0.353324391	0.489	0.264	ARSB	human	3.07E-07	0.412705389	0.302	0.049	ITGB8	human	0.002378373	0.275218638	0.684	0.348	RPL5P4	human	0	0.350975438	0.345	0	SERF2	macaque	1.21E-12	0.667642906	0.457	0.812	ZNF43	human	0	0.594121093	0.434	0.177	PRTFDC1	chimp	0.005607898	0.261230058	0.162	0.299	LINC00662	human	8.98E-11	0.77513458	0.338	0.008	TET1	chimp	0.009163118	0.264061129	0.203	0.333						
XIST	human	0	0.351408015	0.383	0.216	FNIP1	human	3.17E-07	0.482352372	0.572	0.329	COX7A2L	human	0.002401538	0.425589891	0.5	0.174	EEF2	human	0	0.350775208	0.872	0.516	CDV3	macaque	2.51E-12	0.876080394	0.289	0.638	KIF5A	human	0	0.590810345	0.813	0.524	TCOF1	chimp	0.005706718	0.270277671	0.145	0.289	CTTN	human	9.04E-11	0.748776943	0.775	0.417	ZNF286A	human	0	1.544586914	0.013							
MED28	human	0	0.351161698	0.31	0.118	NTRK3	human	3.19E-07	0.538047327	0.469	0.159	PGM2L1	human	0.002407748	0.673678276	0.428	0.087	RP11-475C16.1	human	0	0.348828348	0.38	0	ERBB4	macaque	3.33E-12	0.50921708	0.698	0.912	RP11-358L22.3	human	0	0.58758123	0.254	0.045	LIMS1	chimp	0.005863718	0.252956881	0.156	0.265	KIF5A	human	9.41E-11	0.673619923	0.875	0.425	UBE2Q2P6	human	0	1.53507284	0							
EIF3LP2	human	0	0.351004774	0.288	0	GTF2I	human	3.41E-07	0.459414587	0.6	0.268	SEC31A	human	0.002419397	0.279913304	0.645	0.391	TRIO	human	0	0.3481382	0.838	0.385	BZW1	macaque	4.11E-12	0.660671846	0.461	0.762	PIP4K2A	human	0	0.582775962	0.362	0.135	SLITRK2	chimp	0.006049726	0.259781992	0.225	0.389	AC026271.5	human	1.29E-10	0.610598378	0.3	0	ZNF286B	human	0	1.434924649	0							
ROCK2	human	0	0.350537373	0.471	0.246	STAT2	human	3.58E-07	0.55880939	0.458	0.171	NUMBL	human	0.002510703	0.625427121	0.388	0.043	RPAP2	human	0	0.347380515	0.505	0.216	NCOA3	macaque	4.50E-12	0.907461289	0.219	0.612	CROCCP2	human	0	0.579522234	0.271	0.002	GRIA3	chimp	0.006131903	0.303795761	0.185	0.308	BMS1P1	human	1.29E-10	0.494483216	0.3	0	NONO	human	0	1.433029776	0.103							
ST8SIA2	human	0	0.348481059	0.355	0.162	TTYH3	human	3.73E-07	0.485847797	0.453	0.146	ZNF121	human	0.002523596	0.429961027	0.566	0.348	AP1G1	human	0	0.342629528	0.717	0.268	JARID2	macaque	4.75E-12	0.894484514	0.296	0.65	SKIL	human	0	0.576840884	0.695	0.452	CTC-429P9.3	chimp	0.00613276	0.343574092	0.15	0.284	CEP170P1	human	1.29E-10	0.312312381	0.3	0	NNAT	human	0	1.345654411	0.004							
FAUP1	human	0	0.348336093	0.321	0	PRPS2	human	3.91E-07	0.635891482	0.302	0.061	SERINC5	human	0.002537879	0.504098785	0.638	0.261	TPI1	human	0	0.341385733	0.614	0.268	GNAQ	macaque	5.96E-12	0.833426117	0.405	0.75	SKIDA1	human	0	0.575231731	0.36	0.141	COPS3	chimp	0.006374436	0.278251638	0.335	0.512	TECRP1	human	1.29E-10	0.266731772	0.3	0	ANKRD36B	human	0	1.295233093	0.073							
SLC35E2B	human	0	0.347195397	0.352	0.13	PLEKHB2	human	3.92E-07	0.452068723	0.343	0.073	CBR4	human	0.002543873	1.028134007	0.395	0.043	THUMPD1	human	0	0.34092291	0.599	0.319	BMPER	macaque	1.13E-11	1.003645511	0.043	0.312	EIF3FP3	human	0	0.57486854	0.369	0.015	ATG4C	chimp	0.006629472	0.257695107	0.162	0.313	SLC35E2B	human	1.38E-10	0.642918709	0.362	0.017	KIAA1456	human	0	1.219818403	0.026							
SSR1	human	0	0.346915147	0.543	0.32	RB1CC1	human	3.97E-07	0.367462945	0.743	0.512	MAGI2	human	0.002544583	0.422341984	0.388	0.13	TMEM35	human	0	0.340815546	0.568	0.225	NDRG3	macaque	1.16E-11	1.00455452	0.12	0.4	SSTR2	human	0	0.57483231	0.28	0.047	MBOAT2	chimp	0.006768212	0.267231462	0.324	0.488	HES6	human	1.58E-10	0.813579812	0.562	0.117	SRGAP2C	human	0	1.199948205	0							
TRO	human	0	0.346159686	0.371	0.162	USP31	human	4.17E-07	0.623339348	0.322	0.061	FZD3	human	0.002550981	0.423311861	0.658	0.391	UBE2B	human	0	0.337770863	0.681	0.376	ARID1B	macaque	1.31E-11	0.523196815	0.673	0.838	SORT1	human	0	0.574113221	0.297	0.062	UROS	chimp	0.006865681	0.278867794	0.162	0.289	RP11-680H20.1	human	2.26E-10	0.44816204	0.362	0.017	CASP2	human	0	1.174808906	0.128							
RP11-278C7.1	human	0	0.346068189	0.267	0.012	AHSA1	human	4.36E-07	0.404110139	0.649	0.366	C16orf45	human	0.002555938	0.445868642	0.388	0.087	C20orf194	human	0	0.337362957	0.539	0.188	SLC38A2	macaque	2.08E-11	0.665681684	0.583	0.875	TOB1	human	0	0.571509025	0.789	0.486	SLC1A2	chimp	0.007136199	0.35003861	0.139	0.251	LINC00969	human	2.45E-10	0.754517604	0.688	0.217	ETNK1	human	0	1.163786755	0.346							
TSPAN14	human	0	0.345852416	0.453	0.211	ING1	human	4.64E-07	0.341541966	0.281	0.061	EPHB1	human	0.002573642	0.872769448	0.447	0.087	GRB2	human	0	0.337108652	0.553	0.258	GNPTAB	macaque	2.60E-11	0.863576774	0.169	0.538	BCL10	human	0	0.571330432	0.537	0.27	TMEM248	chimp	0.007339715	0.327205813	0.277	0.403	TMED4	human	2.56E-10	0.677834186	0.862	0.492	GPIHBP1	human	0	1.124921229	0							
ACACA	human	0	0.345089172	0.409	0.163	TRO	human	4.90E-07	0.298209691	0.374	0.11	AGO2	human	0.002589194	0.861609871	0.454	0.087	FAUP1	human	0	0.337061182	0.339	0	PEG3	macaque	2.66E-11	1.043081845	0.181	0.512	PSMG3	human	0	0.571225322	0.365	0.15	HAUS2	chimp	0.007395712	0.281616172	0.133	0.251	STAG3L3	human	3.93E-10	0.5756984	0.288	0	ANKRD36	human	0	1.062716887	0.38							
STT3A	human	0	0.344165769	0.469	0.22	DNAJC3	human	4.93E-07	0.558898219	0.519	0.244	RAD52	human	0.002601718	0.930026205	0.428	0.043	PTPRS	human	0	0.335032447	0.998	0.845	ATP5J2	macaque	6.21E-11	0.653989884	0.398	0.712	ZNF117	human	0	0.567332373	0.274	0.08	ZCCHC6	chimp	0.008292756	0.287772064	0.283	0.441	PKD1	human	3.93E-10	0.569035626	0.288	0	SRGAP2B	human	0	1.061608369	0							
SKIV2L2	human	0	0.3441213	0.461	0.246	SENP5	human	5.14E-07	0.543974676	0.556	0.329	MYL12B	human	0.002625991	0.25195874	0.599	0.261	GPR161	human	0	0.334858316	0.438	0.15	WBP1L	macaque	6.66E-11	0.768471699	0.093	0.4	PKD1	human	0	0.566507869	0.343	0	IL33	chimp	0.00889373	0.311592415	0.127	0.265	RGPD6	human	3.93E-10	0.369902257	0.288	0	FGF13	human	0	1.056027398	0.085							
MAU2	human	0	0.343771365	0.256	0.091	FGD5-AS1	human	5.64E-07	0.543349037	0.601	0.317	CBWD1	human	0.002659157	0.439918815	0.388	0.043	SSR2	human	0	0.334719626	0.569	0.239	ZNF746	macaque	9.99E-11	0.977037601	0.03	0.262	SDHAP1	human	0	0.564348214	0.269	0	KLHL12	chimp	0.008967317	0.298828843	0.208	0.36	TTC39C	human	4.38E-10	0.900705939	0.412	0.092	NPIPB5	human	0	1.02209568	0.09							
ZNF609	human	0	0.343169638	0.434	0.218	HPS4	human	5.88E-07	0.434339987	0.351	0.085	SGCE	human	0.002723601	0.571523268	0.368	0.087	GIGYF1	human	0	0.334332721	0.699	0.319	UBE2M	macaque	1.44E-10	0.62807873	0.047	0.312	DFFA	human	0	0.562642458	0.437	0.162	CHM	chimp	0.009135318	0.268308934	0.179	0.303	GOLGA8B	human	5.10E-10	0.615786927	0.45	0.058	CBWD1	human	0	1.001595063	0.017							
TRPM7	human	0	0.342610577	0.338	0.16	C11orf54	human	6.06E-07	0.575805173	0.318	0.085	TRO	human	0.00273941	0.558212306	0.401	0.087	EPRS	human	0	0.33365925	0.566	0.277	GRIK2	macaque	1.59E-10	0.825209878	0.161	0.512	NUDT3	human	0	0.560702817	0.583	0.381	FBXL2	chimp	0.009187961	0.291128572	0.173	0.313	SMN1	human	6.06E-10	0.367326893	0.388	0.042	NBPF12	human	0	0.998008812	0							
NEDD4L	human	0	0.342391926	0.766	0.457	RBM23	human	6.45E-07	0.391224024	0.587	0.268	ZNF506	human	0.002812611	0.787362561	0.283	0	WDR70	human	0	0.333030685	0.37	0.108	RP3-415N12.1	macaque	1.75E-10	0.860347534	0.069	0.35	NOL4L	human	0	0.553789596	0.539	0.291	NSFL1C	chimp	0.009339237	0.262280054	0.387	0.555	ANKRD40	human	6.21E-10	0.728362713	0.575	0.167	NUP50	human	0	0.970163088	0.051							
SREBF2	human	0	0.34226299	0.502	0.255	PDXDC1	human	6.48E-07	0.438598841	0.365	0.085	METTL2B	human	0.002812611	0.644996627	0.283	0	RP11-680H20.1	human	0	0.331564397	0.274	0.005	11-Sep	macaque	1.92E-10	0.705776749	0.426	0.788	GTF2H2C	human	0	0.553080687	0.333	0.029	BACH2	chimp	0.009454896	0.257050029	0.15	0.294	SLC29A4	human	6.38E-10	0.80485181	0.525	0.142	CBWD7	human	0	0.96162849	0							
CXXC4	human	0	0.342231319	0.254	0.104	LRRC37A2	human	6.95E-07	0.434052264	0.294	0.049	GTF2H2C	human	0.002812611	0.643186645	0.283	0	RPL36A	human	0	0.331382642	0.357	0.052	HSPA1A	macaque	2.52E-10	0.399595021	0.511	0.375	CRLF3	human	0	0.552530759	0.734	0.381	OSBPL9	chimp	0.00953345	0.274105727	0.393	0.536	FOXK1	human	7.46E-10	0.547636397	0.375	0.025	HERC2P2	human	0	0.957347424	0.026							
SNRNP200	human	0	0.341695026	0.586	0.334	LINC01102	human	7.85E-07	0.669107257	0.378	0.11	SRF	human	0.002812611	0.624499856	0.283	0	TNPO1	human	0	0.32947864	0.575	0.258	OIP5-AS1	macaque	2.71E-10	0.810424117	0.319	0.662	SYNJ2BP	human	0	0.550317255	0.535	0.281	IQGAP1	chimp	0.009647882	0.251173128	0.289	0.455	NUDT3	human	7.88E-10	0.74964356	0.562	0.342	TIMM23	human	0	0.946844774	0							
LONP2	human	0	0.341573495	0.467	0.237	CPSF6	human	7.88E-07	0.408115422	0.671	0.366	CERS6	human	0.002812611	0.622848944	0.283	0	LARS	human	0	0.326326203	0.6	0.268	CADM1	macaque	3.01E-10	0.567991152	0.622	0.825	EIF1AD	human	0	0.550270478	0.37	0.185	CTH	chimp	0.009968256	0.257991046	0.185	0.322	MAGI3	human	9.41E-10	0.81295085	0.325	0.033	WIPF3	human	0	0.941508174	0.038							
ABRACL	human	0	0.340212325	0.326	0.127	COL9A1	human	8.44E-07	0.425706952	0.355	0.098	SMN1	human	0.002812611	0.438818641	0.283	0	TROVE2	human	0	0.321542779	0.819	0.502	RPS26	macaque	3.47E-10	0.556893282	0.57	0.838	SUN1	human	0	0.549130356	0.314	0.099	UBE2Q2P6	human	0	1.524718223	0.919	0	HMGN2P41	human	9.94E-10	0.290168827	0.338	0.033	RP11-16E23.4	human	0	0.92589699	0.051							
SGIP1	human	0	0.339189588	0.35	0.149	ASNS	human	8.75E-07	0.606459274	0.29	0.061	CTC-308K20.3	human	0.002812611	0.430947719	0.283	0	CALM2P3	human	0	0.318963169	0.367	0	MPZL1	macaque	7.01E-10	0.905610849	0.124	0.438	RPL21	human	0	0.544378642	0.979	0.925	NONO	human	0	1.391804073	0.879	0.175	CSNK2A1	human	1.17E-09	0.799853416	0.675	0.258	RPS4Y1	human	0	0.921124483	0.051							
GRB2	human	0	0.339037217	0.458	0.244	RNF213	human	9.12E-07	0.295818593	0.413	0.146	FAM133DP	human	0.002812611	0.394645115	0.283	0	NCAM1	human	0	0.315833626	0.929	0.61	EIF4E	macaque	7.40E-10	0.680433353	0.417	0.662	ZNF493	human	0	0.542955612	0.317	0.078	SOX2-OT	human	0	1.296235712	0.618	0.052	CROCCP2	human	1.18E-09	0.626827976	0.275	0	INSR	human	0	0.913634682	0.427							
THUMPD3-AS1	human	0	0.338177253	0.26	0.093	CDC42EP4	human	9.67E-07	0.492988889	0.255	0.024	BZW1P2	human	0.002812611	0.370823241	0.283	0	PSMA3	human	0	0.304253889	0.659	0.338	GLOD4	macaque	9.35E-10	0.707161307	0.208	0.538	SRSF6	human	0	0.539413454	0.962	0.769	ZNF286A	human	0	1.212146339	0.636	0.024	LRRC37A2	human	1.18E-09	0.49791578	0.275	0	SERINC5	human	0	0.904621738	0.248							
QRICH1	human	0	0.336830342	0.514	0.311	ZMYM5	human	9.79E-07	0.533403607	0.479	0.171	SLC17A6	human	0.002858972	0.937642442	0.388	0.043	GPM6B	human	0	0.30376739	0.745	0.38	TAF9	macaque	1.10E-09	1.023354632	0.077	0.325	TRIM59	human	0	0.536984369	0.266	0.126	NBPF14	human	0	1.183629104	0.838	0	LRRC37A	human	1.18E-09	0.388659541	0.275	0	HERC2P9	human	0	0.901088002	0							
TROVE2	human	0	0.335920672	0.797	0.583	ECH1	human	9.96E-07	0.325332957	0.458	0.183	PENK	human	0.002871984	1.045834507	0.428	0.043	MPRIP	human	0	0.303728018	0.661	0.343	GNG2	macaque	1.11E-09	0.77507756	0.414	0.688	TRIM36-IT1	human	0	0.534645236	0.316	0.107	ZNF286B	human	0	1.07196289	0.59	0	CH17-431G21.1	human	1.18E-09	0.387473476	0.275	0	SLC29A4	human	0	0.900743677	0.098							
SLC35E3	human	0	0.335723252	0.276	0.077	MED14	human	1.02E-06	0.544703134	0.351	0.085	SKIL	human	0.002932984	0.555508894	0.651	0.304	SUMO2P17	human	0	0.301635219	0.319	0	CTDSPL2	macaque	1.59E-09	0.822983845	0.202	0.525	TARBP1	human	0	0.532851507	0.487	0.239	SRGAP2C	human	0	1.069490995	0.613	0	KIAA1456	human	1.21E-09	0.81156041	0.3	0.008	TMEM33	human	0	0.89822925	0.402							
CALM2P3	human	0	0.335668231	0.351	0	BUB3	human	1.04E-06	0.450518239	0.598	0.28	TTYH2	human	0.002934367	0.312709023	0.303	0.087	RP11-1018J11.1	human	0	0.299619612	0.335	0	TUBB3	macaque	1.91E-09	0.562880041	0.245	0.338	ARL17B	human	0	0.531476504	0.326	0.023	NBPF12	human	0	1.069306959	0.751	0	ATG12	human	1.44E-09	0.787644953	0.488	0.25	RAD52	human	0	0.895942896	0.085							
GNB1	human	0	0.335369605	0.53	0.322	DDB1	human	1.09E-06	0.472425275	0.544	0.232	ZNF326	human	0.002980954	0.639255818	0.638	0.261	FAM45A	human	0	0.298900864	0.348	0.103	ARGLU1	macaque	1.92E-09	0.430598211	0.734	0.962	DCAF16	human	0	0.529069639	0.54	0.239	NPIPB5	human	0	1.053971992	0.775	0.09	PTBP2	human	1.77E-09	0.402295455	0.938	0.767	TLK1	human	0	0.882513104	0.333							
TOX4	human	0	0.334985307	0.396	0.192	NDUFV3	human	1.10E-06	0.394690959	0.505	0.207	BRD8	human	0.003099194	0.670830527	0.684	0.348	7-Sep	human	0	0.298602928	0.798	0.516	FNDC3A	macaque	1.98E-09	0.950465476	0.25	0.525	PDXK	human	0	0.528811093	0.268	0.051	TSPYL1	human	0	1.048152296	0.838	0.374	PTPRS	human	2.37E-09	0.3509625	1	0.917	PCDHGA10	human	0	0.87789448	0.03							
NUP107	human	0	0.333727122	0.314	0.16	PMF1	human	1.20E-06	0.350235569	0.318	0.073	MYO10	human	0.003147431	0.672542024	0.559	0.174	TLE3	human	0	0.29621089	0.711	0.408	ARPC4	macaque	2.36E-09	0.692354763	0.32	0.662	CHCHD3	human	0	0.527576347	0.75	0.297	CBWD1	human	0	0.989849537	0.647	0.047	TUBA1C	human	3.39E-09	0.394118436	0.95	0.858	DYNC1I2P1	human	0	0.875273251	0.004							
ICA1L	human	0	0.333555373	0.454	0.228	GLUD1	human	1.21E-06	0.328057265	0.549	0.244	FMNL2	human	0.00331286	0.670336848	0.645	0.261	EIF3I	human	0	0.293742309	0.533	0.221	NDUFB1	macaque	4.26E-09	0.654818019	0.261	0.538	UBE2Q2P2	human	0	0.525598981	0.29	0.077	NUP50	human	0	0.985027602	0.52	0.085	SMN2	human	3.52E-09	0.343966955	0.262	0	GOLGA8B	human	0	0.863619704	0.115							
DR1	human	0	0.332014971	0.352	0.17	NONO	human	1.23E-06	0.257296369	0.874	0.646	AGPAT4	human	0.003320601	0.705683384	0.316	0.043	PCLO	human	0	0.290920778	0.595	0.315	CASC4	macaque	4.47E-09	0.845568544	0.239	0.525	NEIL2	human	0	0.52414439	0.252	0.038	AC253572.1	human	0	0.983721009	0.717	0	PDXK	human	3.54E-09	0.700351981	0.325	0.017	GTF2IP1	human	0	0.858829614	0.047							
MAPK6	human	0	0.331441791	0.508	0.26	GNG4	human	1.36E-06	0.429605492	0.26	0.037	SLC22A17	human	0.003338198	0.425758538	0.421	0.087	TRIM33	human	0	0.290754353	0.571	0.286	ZNHIT6	macaque	4.65E-09	0.8599769	0.126	0.425	GLG1	human	0	0.521780699	0.816	0.581	CBWD7	human	0	0.978278025	0.717	0	AGAP4	human	4.08E-09	0.689942538	0.338	0.033	TMED4	human	0	0.85717964	0.303							
SEC31A	human	0	0.33041829	0.604	0.373	ZCCHC11	human	1.37E-06	0.298909993	0.731	0.451	STAG3	human	0.003362488	0.728056377	0.276	0	SEPT7P6	human	0	0.28647888	0.255	0	CTC-444N24.11	macaque	5.15E-09	0.692579747	0.254	0.612	AGAP4	human	0	0.517802008	0.292	0.035	ANKRD36	human	0	0.964266226	0.85	0.265	ADNP	human	5.59E-09	0.566528921	0.912	0.633	RABGAP1L	human	0	0.855291149	0.098							
EPB41L3	human	0	0.33037742	0.31	0.16	ACADM	human	1.38E-06	0.26972075	0.467	0.195	ENO2	human	0.003362488	0.694537462	0.276	0	ZNF532	human	0	0.285999238	0.76	0.394	ITFG2	macaque	5.37E-09	0.857507237	0.116	0.412	SGPL1	human	0	0.511407347	0.419	0.254	NNAT	human	0	0.9588104	0.399	0.009	NAIP	human	7.12E-09	0.399814562	0.325	0.025	TUB	human	0	0.844921381	0.158							
PKD2	human	0	0.330339606	0.306	0.139	CARD8	human	1.40E-06	0.523808802	0.339	0.073	MEIS3	human	0.003362488	0.648287892	0.276	0	ZNF518A	human	0	0.282849314	0.433	0.169	CCNG2	macaque	7.82E-09	0.873513406	0.214	0.5	FTH1	human	0	0.511344002	0.77	0.483	TIMM23	human	0	0.958789063	0.439	0	RP11-490K7.4	human	8.45E-09	0.750884687	0.362	0.033	RPL14P1	human	0	0.844150331	0							
ZNF426	human	0	0.329996025	0.278	0.125	TRIM45	human	1.41E-06	0.618704259	0.259	0.037	RP11-421N8.1	human	0.003362488	0.41830081	0.276	0	PJA2	human	0	0.282475199	0.702	0.404	BABAM1	macaque	8.53E-09	0.72062128	0.082	0.288	NBPF9	human	0	0.506284102	0.455	0.126	HNRNPCP2	human	0	0.926816741	0.746	0	SUN1	human	8.91E-09	0.777322743	0.4	0.075	LINC00662	human	0	0.837185659	0.004							
DNAJB14	human	0	0.32803218	0.372	0.174	MPP6	human	1.43E-06	0.468585784	0.402	0.134	NDUFA13	human	0.003362488	0.270779122	0.276	0	MLLT3	human	0	0.282278116	0.962	0.62	SRSF5	macaque	8.62E-09	0.689569955	0.417	0.725	ZNF562	human	0	0.506051053	0.494	0.245	SRGAP2B	human	0	0.918280538	0.647	0	EIF3LP2	human	9.69E-09	0.347106306	0.4	0.1	NGRN	human	0	0.833050811	0.004							
PEBP1	human	0	0.327384116	0.718	0.457	ZNF121	human	1.43E-06	0.414261656	0.729	0.439	TRIM36	human	0.003525894	0.628572199	0.375	0.043	HNRNPRP1	human	0	0.28082166	0.281	0.009	CCDC6	macaque	8.78E-09	0.903783013	0.112	0.362	SNCA	human	0	0.505597138	0.333	0.179	GOLGA8B	human	0	0.916444766	0.584	0.071	RAB3D	human	1.05E-08	0.649168376	0.3	0.008	RPL24P4	human	0	0.829305081	0.107							
PPME1	human	0	0.325939211	0.361	0.186	EIF2AK2	human	1.45E-06	0.374179758	0.524	0.232	SLC25A36	human	0.003537229	0.681189185	0.507	0.13	UBE3A	human	0	0.278693747	0.699	0.427	NFAT5	macaque	9.20E-09	0.726598086	0.194	0.525	HES6	human	0	0.502730916	0.266	0.038	CASP2	human	0	0.905177763	0.543	0.166	PIP4K2A	human	1.37E-08	0.769230647	0.488	0.192	SYT14	human	0	0.819285432	0.269							
CSNK2A2	human	0	0.325242433	0.43	0.214	NAMPT	human	1.47E-06	0.576914932	0.441	0.146	RPL7A	human	0.003552206	0.265282705	0.862	0.522	TMEM161B-AS1	human	0	0.27861827	0.688	0.39	JAG1	macaque	9.61E-09	0.881253627	0.048	0.275	TMEM41B	human	0	0.500581737	0.458	0.261	CSNK2A1	human	0	0.888396388	0.705	0.28	RAF1	human	3.25E-08	0.707005521	0.475	0.1	CDH7	human	0	0.813633926	0.03							
NTRK3	human	0	0.324791995	0.347	0.167	LPP	human	1.52E-06	0.482033822	0.388	0.146	GLCE	human	0.003569046	0.850652581	0.395	0.087	DAAM1	human	0	0.277778489	0.834	0.516	PCYOX1	macaque	1.59E-08	0.875106909	0.153	0.425	FOXK1	human	0	0.500137361	0.302	0.036	RPL14P1	human	0	0.880639613	0.775	0	SKIL	human	5.67E-08	0.571448129	0.75	0.458	CBWD5	human	0	0.797298331	0.158							
TMEM237	human	0	0.324128432	0.304	0.111	UBE2L6	human	1.56E-06	0.537079722	0.273	0.037	TSC1	human	0.003600023	0.69609753	0.5	0.13	ST13	human	0	0.275056328	0.658	0.296	TMEM258	macaque	1.77E-08	0.666052665	0.269	0.612	RRP15	human	0	0.498582791	0.54	0.311	NBPF1	human	0	0.877079857	0.659	0.081	FAUP1	human	7.25E-08	0.254319644	0.362	0.067	AC004057.1	human	0	0.793155272	0.034							
CDKAL1	human	0	0.323519187	0.373	0.165	GNB1	human	1.62E-06	0.391661693	0.514	0.207	TSPAN14	human	0.003659639	0.634360532	0.5	0.174	PEBP1	human	0	0.270095775	0.801	0.465	DYNLRB1	macaque	1.81E-08	0.676832377	0.262	0.525	ZNF333	human	0	0.497498928	0.461	0.24	ANKRD36B	human	0	0.874930553	0.607	0.014	GTF2H2C	human	7.33E-08	0.55720843	0.362	0.058	HNRNPCP2	human	0	0.792037027	0							
BCL7A	human	0	0.322901354	0.359	0.095	ARF6	human	1.73E-06	0.475732652	0.734	0.573	EPB41L3	human	0.003681271	0.781680685	0.395	0.043	NEDD4L	human	0	0.263725796	0.812	0.455	NDUFA3	macaque	1.91E-08	0.404959219	0.358	0.312	ELMSAN1	human	0	0.495573851	0.559	0.369	CBWD5	human	0	0.846340857	0.751	0.137	NUP50	human	1.05E-07	0.761055572	0.462	0.125	TSPYL1	human	0	0.790834651	0.513							
CSTB	human	0	0.322403386	0.263	0.088	AGO2	human	1.77E-06	0.394985725	0.691	0.415	SVIL	human	0.003735518	0.595623024	0.553	0.217	PRMT2	human	0	0.262656335	0.74	0.38	TIMM8B	macaque	1.96E-08	0.753274922	0.19	0.412	RGPD8	human	0	0.493158587	0.341	0	FOXK1	human	0	0.844537439	0.538	0.038	RALGAPA1P	human	1.08E-07	0.410943323	0.312	0.025	RP11-490K7.4	human	0	0.790041322	0.034							
